City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,saiki,32.95,131.9,68.14,65,20,18.7,JP,1684803260
131,mariveles,14.4833,120.4833,80.56,69,33,3.04,PH,1684803261
132,west island,-12.1568,96.8225,82.38,78,22,4.61,CC,1684803261
133,port shepstone,-30.7414,30.455,58.57,74,91,5.46,ZA,1684803262
134,ajaccio,42.0,8.9167,55.45,88,0,4.61,FR,1684803262
135,bredasdorp,-34.5322,20.0403,53.65,60,100,3.04,ZA,1684803262
136,whitehorse,60.7161,-135.0538,61.11,29,75,3.44,CA,1684803263
137,atafu village,-8.5421,-172.5159,83.14,76,65,9.6,TK,1684803264
138,kapuskasing,49.4169,-82.4331,69.8,21,40,6.91,CA,1684803265
139,isafjordur,66.0755,-23.124,40.35,77,98,8.68,IS,1684803265
140,monte patria,-30.6919,-70.9467,61.72,41,100,2.44,CL,1684803265
141,margaret river,-33.95,115.0667,66.61,73,99,12.41,AU,1684803266
142,igrim,63.1906,64.4162,57.7,55,16,2.35,RU,1684803266
143,cam pha mines,21.0167,107.3,81.86,81,97,11.72,VN,1684803267
144,baringo,0.4667,35.9667,68.52,75,15,4.81,KE,1684803267
145,vorgashor,67.5833,63.95,39.78,95,52,5.21,RU,1684803268
146,itoman,26.1247,127.6694,73.78,73,75,17.27,JP,1684803268
147,okhotsk,59.3833,143.3,36.64,86,100,3.65,RU,1684803268
148,polyarnyy,69.1989,33.4478,53.92,72,90,10.36,RU,1684803269
149,worland,44.0169,-107.9554,81.61,34,0,4.61,US,1684803269
150,highland,34.1283,-117.2086,87.84,52,20,11.5,US,1684803270
151,narragansett,41.4501,-71.4495,56.68,76,0,4.61,US,1684803270
152,cabo san lucas,22.8909,-109.9124,90.18,52,0,15.32,MX,1684803271
153,klaksvik,62.2266,-6.589,47.32,81,98,20.2,FO,1684803271
154,vilyuysk,63.7553,121.6247,45.99,32,99,5.39,RU,1684803271
155,qingdao,36.0986,120.3719,71.2,37,0,6.71,CN,1684803272
